,ID,Lat,Lng,Bump,Distance(mi),Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Stop,Amenity,Side,Severity,timestamp,Full Date With H,Full Date Without H,Year,Day,Month,Hour,Weather_Condition,Wind_Chill(F),Precipitation(in),Temperature(F),Humidity(%),Wind_Speed(mph),Visibility(mi),Selected,Full Date,Is Holiday
63,65,37.767597,-122.396248,False,0.0,False,False,False,False,True,False,False,False,R,3,2020-05-29 15:12:54,1590757200.0,1590703200.0,2020,29,5,15,Mostly Cloudy / Windy,70.0,0.0,70.0,55.0,25.0,10.0,No,2020-5-29 15:0:0,False
64,66,37.76542,-122.40486,False,0.249,False,False,False,False,False,False,False,False,R,2,2019-02-14 15:43:30,1550149200.0,1550095200.0,2019,14,2,15,Mostly Cloudy,,,55.0,64.0,18.4,10.0,No,2019-2-14 15:0:0,False
65,67,37.77129,-122.40853,False,0.0,False,False,False,False,False,False,False,True,R,3,2020-05-02 16:34:10,1588428000.0,1588370400.0,2020,2,5,16,Mostly Cloudy,65.0,0.0,65.0,65.0,14.0,10.0,No,2020-5-2 16:0:0,True
66,68,37.73174,-122.40434,False,0.275,False,False,False,False,False,False,False,False,L,2,2016-12-03 16:09:43,1480773600.0,1480716000.0,2016,3,12,16,Partly Cloudy,,,59.0,62.0,12.7,10.0,No,2016-12-3 16:0:0,True
67,69,37.731361,-122.423836,False,0.0,False,False,True,False,False,False,False,False,R,3,2019-12-25 06:12:04,1577246400.0,1577224800.0,2019,25,12,6,Mostly Cloudy,43.0,0.0,47.0,86.0,9.0,10.0,No,2019-12-25 6:0:0,True
68,70,37.761814,-122.40586100000002,False,0.01,False,False,True,False,False,False,False,False,R,2,2017-04-07 09:30:48,1491548400.0,1491516000.0,2017,7,4,9,Overcast,,0.01,61.0,81.0,15.0,10.0,No,2017-4-7 9:0:0,False
69,71,37.711308,-122.395531,False,0.0,False,False,True,False,False,False,False,False,R,2,2020-01-04 19:09:42,1578157200.0,1578088800.0,2020,4,1,19,Partly Cloudy,53.0,0.0,53.0,77.0,9.0,10.0,No,2020-1-4 19:0:0,True
70,72,37.711311,-122.395523,False,0.0,False,False,True,False,False,False,False,False,R,2,2017-12-04 09:16:52,1512370800.0,1512338400.0,2017,4,12,9,Partly Cloudy,,,54.0,40.0,5.8,10.0,No,2017-12-4 9:0:0,False
71,73,37.740299,-122.407848,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-11-01 18:50:00,1572624000.0,1572559200.0,2019,1,11,18,Fair,64.0,0.0,64.0,31.0,12.0,10.0,No,2019-11-1 18:0:0,False
72,74,37.80715,-122.47567,False,0.008,False,False,False,False,False,False,False,False,R,3,2018-03-22 11:04:08,1521709200.0,1521669600.0,2018,22,3,11,Overcast,,0.03,54.0,83.0,18.4,7.0,No,2018-3-22 11:0:0,False
73,75,37.719141,-122.448457,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-12-07 13:51:00,1575716400.0,1575669600.0,2019,7,12,13,Rain / Windy,62.0,0.02,62.0,78.0,23.0,5.0,No,2019-12-7 13:0:0,True
74,76,37.807153,-122.475694,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-06-28 18:43:00,1593360000.0,1593295200.0,2020,28,6,18,Fair,61.0,0.0,61.0,62.0,17.0,10.0,No,2020-6-28 18:0:0,True
75,77,37.775528,-122.426094,False,0.0,True,False,False,False,False,False,False,True,L,2,2018-02-14 14:54:07,1518609600.0,1518559200.0,2018,14,2,14,Scattered Clouds,,,57.0,55.0,19.6,10.0,No,2018-2-14 14:0:0,False
76,78,37.770084,-122.42086,False,0.0,False,False,False,False,False,False,False,False,L,2,2017-11-05 09:07:41,1509865200.0,1509832800.0,2017,5,11,9,Mostly Cloudy,,,54.0,62.0,5.8,10.0,No,2017-11-5 9:0:0,True
77,79,37.72999,-122.403729,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-02-07 15:04:00,1581080400.0,1581026400.0,2020,7,2,15,Fair,60.0,0.0,60.0,60.0,20.0,10.0,No,2020-2-7 15:0:0,False
78,80,37.81053,-122.36464,False,0.0,False,False,True,False,False,False,False,False,R,2,2016-06-29 11:29:38,1467190800.0,1467151200.0,2016,29,6,11,Overcast,,,60.1,69.0,10.4,10.0,No,2016-6-29 11:0:0,False
79,81,37.73864,-122.407997,False,0.0,False,False,False,False,False,False,False,False,R,2,2018-09-26 08:30:27,1537941600.0,1537912800.0,2018,26,9,8,Mostly Cloudy,,,54.0,90.0,3.5,5.0,No,2018-9-26 8:0:0,False
80,82,37.76083,-122.39235,False,0.374,False,False,True,False,False,False,False,False,R,2,2016-12-12 19:00:44,1481562000.0,1481493600.0,2016,12,12,19,Mostly Cloudy,,,51.1,80.0,4.6,10.0,No,2016-12-12 19:0:0,False
81,83,37.76181,-122.405846,False,0.0,False,False,True,False,False,False,False,False,R,2,2019-10-09 20:19:00,1570644000.0,1570572000.0,2019,9,10,20,Fair,60.0,0.0,60.0,67.0,5.0,10.0,No,2019-10-9 20:0:0,False
82,84,37.727920000000005,-122.40295,False,0.106,False,False,False,False,False,False,False,False,R,3,2017-02-22 09:07:07,1487746800.0,1487714400.0,2017,22,2,9,Partly Cloudy,,,52.0,66.0,11.5,10.0,No,2017-2-22 9:0:0,False
83,85,37.759823,-122.392258,False,0.01,False,False,False,False,False,False,False,False,R,3,2016-05-05 10:49:48,1462435200.0,1462399200.0,2016,5,5,10,Overcast,,,63.0,65.0,5.8,10.0,No,2016-5-5 10:0:0,False
84,86,37.73235,-122.4141,False,0.67,False,False,False,False,False,False,False,False,R,2,2019-06-03 18:11:24,1559577600.0,1559512800.0,2019,3,6,18,Fair,61.0,0.0,61.0,70.0,18.0,10.0,No,2019-6-3 18:0:0,False
85,87,37.808323,-122.36736299999998,False,0.0,False,False,True,False,False,False,True,False,R,3,2019-02-08 18:40:24,1549641600.0,1549576800.0,2019,8,2,18,Overcast,,0.0,48.0,86.0,8.1,10.0,No,2019-2-8 18:0:0,False
86,88,37.81053,-122.36464,False,0.0,False,False,True,False,False,False,False,False,R,1,2020-04-26 18:21:34,1587916800.0,1587852000.0,2020,26,4,18,Fair,65.0,0.0,65.0,50.0,15.0,10.0,No,2020-4-26 18:0:0,True
87,89,37.752501,-122.402997,False,0.0,False,False,True,False,False,False,False,False,R,2,2019-12-03 17:39:00,1575385200.0,1575324000.0,2019,3,12,17,Cloudy,56.0,0.0,56.0,87.0,0.0,10.0,No,2019-12-3 17:0:0,False
88,90,37.808491,-122.367348,False,0.0,False,False,False,False,False,False,True,False,R,3,2019-12-25 18:04:59,1577289600.0,1577224800.0,2019,25,12,18,Cloudy,53.0,0.0,53.0,64.0,17.0,10.0,No,2019-12-25 18:0:0,True
89,91,37.78699,-122.389859,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-10-01 17:09:00,1569942000.0,1569880800.0,2019,1,10,17,Fair,69.0,0.0,69.0,39.0,20.0,10.0,No,2019-10-1 17:0:0,False
90,92,37.743958,-122.405594,False,0.01,False,False,False,False,False,False,False,False,R,2,2017-03-23 18:29:54,1490284800.0,1490220000.0,2017,23,3,18,Mostly Cloudy,,,55.0,64.0,8.1,10.0,No,2017-3-23 18:0:0,False
91,93,37.73497,-122.406746,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-10-28 11:07:01,1572253200.0,1572213600.0,2019,28,10,11,Fair,65.0,0.0,65.0,14.0,5.0,10.0,No,2019-10-28 11:0:0,False
92,94,37.732208,-122.414513,False,0.0,False,False,True,False,False,False,False,False,R,3,2018-11-06 15:04:32,1541509200.0,1541455200.0,2018,6,11,15,Partly Cloudy,,,66.9,44.0,16.1,10.0,No,2018-11-6 15:0:0,False
93,95,37.778081,-122.401165,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-12-20 22:15:00,1576872000.0,1576792800.0,2019,20,12,22,Mostly Cloudy,52.0,0.0,52.0,86.0,5.0,5.0,No,2019-12-20 22:0:0,False
94,96,37.803097,-122.452774,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-07-19 19:32:39,1563555600.0,1563487200.0,2019,19,7,19,Fair,67.0,0.0,67.0,61.0,8.0,10.0,No,2019-7-19 19:0:0,False
95,97,37.765282,-122.40485,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-09-19 17:41:30,1568905200.0,1568844000.0,2019,19,9,17,Fair,73.0,0.0,73.0,48.0,16.0,10.0,No,2019-9-19 17:0:0,False
96,98,37.81052,-122.36465,False,0.0,False,False,True,False,False,False,False,False,R,4,2020-03-20 11:43:34,1584694800.0,1584655200.0,2020,20,3,11,Fair,59.0,0.0,59.0,58.0,6.0,10.0,No,2020-3-20 11:0:0,False
97,99,37.711312,-122.395505,False,0.0,False,False,True,False,False,False,False,False,R,2,2019-11-01 19:05:00,1572627600.0,1572559200.0,2019,1,11,19,Fair,64.0,0.0,64.0,31.0,12.0,10.0,No,2019-11-1 19:0:0,False
98,100,37.7785,-122.4056,False,0.0,True,False,False,False,False,False,False,False,L,2,2019-02-15 17:14:13,1550242800.0,1550181600.0,2019,15,2,17,Mostly Cloudy,,0.0,50.0,63.0,10.4,10.0,No,2019-2-15 17:0:0,False
99,101,37.767635,-122.396201,False,0.0,False,False,False,False,True,False,False,False,R,2,2020-02-28 18:20:00,1582905600.0,1582840800.0,2020,28,2,18,Mostly Cloudy,57.0,0.0,57.0,77.0,14.0,10.0,No,2020-2-28 18:0:0,False
100,102,37.798157,-122.377769,False,0.0,False,False,False,False,False,False,False,False,R,3,2020-03-04 12:52:11,1583316000.0,1583272800.0,2020,4,3,12,Partly Cloudy,70.0,0.0,70.0,36.0,5.0,10.0,No,2020-3-4 12:0:0,False
101,103,37.752501,-122.402997,False,0.0,False,False,True,False,False,False,False,False,R,2,2019-11-08 17:48:00,1573225200.0,1573164000.0,2019,8,11,17,Haze,54.0,0.0,54.0,83.0,9.0,6.0,No,2019-11-8 17:0:0,False
102,104,37.732292,-122.414909,False,0.0,False,False,True,False,False,False,False,False,R,3,2018-02-13 07:48:12,1518498000.0,1518472800.0,2018,13,2,7,Clear,,,50.0,43.0,10.4,10.0,No,2018-2-13 7:0:0,False
103,105,37.786995000000005,-122.38987,False,0.0,False,False,False,False,False,False,False,False,R,3,2017-09-05 12:51:39,1504605600.0,1504562400.0,2017,5,9,12,Partly Cloudy,,,80.1,62.0,12.7,10.0,No,2017-9-5 12:0:0,False
104,106,37.778062,-122.401983,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-10-05 15:25:00,1570280400.0,1570226400.0,2019,5,10,15,Fair,79.0,0.0,79.0,30.0,12.0,10.0,No,2019-10-5 15:0:0,True
105,107,37.813098,-122.36171000000002,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-01-24 18:03:00,1579881600.0,1579816800.0,2020,24,1,18,Cloudy,60.0,0.0,60.0,78.0,5.0,10.0,No,2020-1-24 18:0:0,False
106,108,37.808498,-122.366852,False,0.0,False,False,False,False,False,False,True,False,R,3,2018-09-27 18:52:16,1538064000.0,1537999200.0,2018,27,9,18,Mostly Cloudy,,,57.9,87.0,12.7,10.0,No,2018-9-27 18:0:0,False
107,109,37.76181,-122.405846,False,0.0,False,False,True,False,False,False,False,False,R,2,2020-01-18 17:24:00,1579359600.0,1579298400.0,2020,18,1,17,Mostly Cloudy,51.0,0.0,51.0,63.0,8.0,10.0,No,2020-1-18 17:0:0,True
108,110,37.73864,-122.407997,False,0.0,False,False,False,False,False,False,False,False,R,2,2016-08-10 11:56:39,1470819600.0,1470780000.0,2016,10,8,11,Partly Cloudy,,,70.0,61.0,11.5,10.0,No,2016-8-10 11:0:0,False
109,111,37.807072,-122.475616,False,0.01,False,False,False,False,False,False,False,False,R,2,2016-11-08 18:19:08,1478620800.0,1478556000.0,2016,8,11,18,Scattered Clouds,,,68.0,65.0,9.2,10.0,No,2016-11-8 18:0:0,False
110,112,37.752502,-122.403008,False,0.0,False,False,True,False,False,False,False,False,R,2,2017-06-13 15:59:04,1497358800.0,1497304800.0,2017,13,6,15,Clear,,,71.1,51.0,15.0,10.0,No,2017-6-13 15:0:0,False
