Year,timestamp,Day,date,Month,Lat,Hour,Lng,Weather_Condition,Distance(mi),Wind_Chill(F),Crossing,Precipitation(in),Railway,Temperature(F),Stop,Humidity(%),Side,Wind_Speed(mph),Severity,Visibility(mi),Selected,ID
2016,11/29/2017 4:19,28,10/14/2013 0:00,5,37.808498,0,-122.366852,Partly Cloudy,0,62,FALSE,0,FALSE,60.1,TRUE,72,R,4.6,3,9,No,16
2018,9/7/2016 13:06,14,11/11/2013 0:00,5,37.774891,15,-122.401016,Scattered Clouds,0,67,FALSE,0,FALSE,62.1,FALSE,62,R,17.3,2,10,No,17
2018,12/6/2019 22:58,15,11/28/2013 0:00,3,37.718611,19,-122.472584,Heavy Rain,0,47,FALSE,0.14,FALSE,52,TRUE,89,L,17.3,2,3,No,18
2019,4/8/2020 22:08,23,12/25/2013 0:00,10,37.769291,7,-122.410764,Fair,0,54,FALSE,0,FALSE,54,FALSE,86,R,0,2,10,No,19
2020,4/24/2020 16:26,9,1/1/2014 0:00,5,37.72518,20,-122.40169,Partly Cloudy,0,52,FALSE,0,FALSE,52,FALSE,86,R,12,2,10,No,20
2019,5/9/2018 8:09,18,1/20/2014 0:00,2,37.733097,10,-122.405617,Clear,0,56,FALSE,0,FALSE,52,FALSE,40,R,12.7,2,10,Yes,21
2018,12/3/2019 15:48,11,2/17/2014 0:00,1,37.745056,10,-122.404999,Overcast,0,63,FALSE,0,FALSE,53.1,FALSE,96,R,4.6,2,7,No,22
2016,2/2/2020 16:13,29,5/26/2014 0:00,8,37.808253,11,-122.366974,Mostly Cloudy,0,55,FALSE,0,FALSE,64.9,TRUE,65,R,12.7,2,10,No,23
2019,3/18/2020 6:43,21,7/4/2014 0:00,9,37.743961,13,-122.405602,Fair,0,84,FALSE,0,FALSE,84,FALSE,26,R,0,3,10,No,24
2020,11/13/2019 11:27,17,9/1/2014 0:00,11,37.740952,23,-122.401541,Cloudy,0,61,FALSE,0,FALSE,61,FALSE,81,L,13,2,10,No,25
2020,2/25/2020 20:14,10,10/13/2014 0:00,2,37.756828,15,-122.40358,Fair,0,70,FALSE,0,FALSE,70,FALSE,25,R,9,2,10,No,26
2020,1/8/2020 18:36,14,11/11/2014 0:00,4,37.752502,21,-122.40303,Fair,0,63,FALSE,0,FALSE,63,FALSE,54,R,3,2,10,No,27
2018,7/3/2016 12:41,26,11/27/2014 0:00,7,37.807072,15,-122.475616,Scattered Clouds,0,53,FALSE,0,FALSE,64,FALSE,67,R,25.3,2,10,No,28
2019,9/9/2019 14:38,11,12/25/2014 0:00,9,37.743917,22,-122.405635,Fair,0,66,FALSE,0,FALSE,66,FALSE,63,R,0,2,10,No,29
2017,1/7/2018 18:56,15,1/1/2015 0:00,3,37.737713,5,-122.40786,Overcast,0,53,FALSE,0,FALSE,54,FALSE,100,R,8,3,10,No,30
2019,5/18/2020 22:45,31,1/19/2015 0:00,8,37.76041,9,-122.40629,Fair,0,70,FALSE,0,FALSE,70,FALSE,65,R,5,3,10,No,31
2019,6/2/2020 17:01,4,2/16/2015 0:00,12,37.722614,4,-122.447754,Light Rain,0,54,FALSE,0.02,FALSE,54,FALSE,90,R,3,2,6,No,32
2019,9/24/2019 15:20,14,5/25/2015 0:00,10,37.774974,16,-122.410062,Fair,0,63,TRUE,0,FALSE,63,FALSE,65,L,13,2,10,No,33
2020,9/2/2018 22:35,3,7/3/2015 0:00,4,37.771858,22,-122.423309,Fair,0,53,TRUE,0,TRUE,53,FALSE,66,L,10,2,10,No,34
2020,12/2/2020 9:21,16,9/7/2015 0:00,5,37.825615,21,-122.479279,Mostly Cloudy,0,66,FALSE,0,FALSE,66,FALSE,63,R,10,2,10,No,35
2018,1/8/2019 16:52,24,10/12/2015 0:00,7,37.76778,18,-122.395988,Partly Cloudy,0.540000021,73,FALSE,0,FALSE,64.9,FALSE,78,R,17.3,3,10,No,36
2018,9/14/2018 9:52,26,11/11/2015 0:00,7,37.772949,8,-122.406563,Overcast,0,55,FALSE,0,FALSE,55.9,FALSE,90,R,11.5,3,10,No,37
2017,3/24/2017 15:08,22,11/26/2015 0:00,11,37.73222,0,-122.41524,Clear,0.442,52,FALSE,0,FALSE,55.9,FALSE,97,R,5,2,10,No,38
2020,12/7/2019 15:16,1,12/25/2015 0:00,6,37.719141,5,-122.448457,Cloudy,0,60,FALSE,0,FALSE,60,FALSE,78,R,5,2,10,No,39
2016,10/8/2019 15:36,30,1/1/2016 0:00,8,37.712811,10,-122.453491,Partly Cloudy,0,59,FALSE,0,FALSE,66.9,FALSE,70,L,9.2,3,10,No,40
2017,12/20/2019 15:36,18,1/18/2016 0:00,8,37.77412,13,-122.405762,Partly Cloudy,0.300000012,69,FALSE,0,FALSE,71.1,FALSE,59,R,18.4,3,10,No,41
2019,5/14/2020 13:33,1,2/15/2016 0:00,8,37.731355,12,-122.423836,Mostly Cloudy,0,66,FALSE,0,FALSE,66,FALSE,68,R,18,2,10,No,42
2019,4/27/2017 19:44,30,5/30/2016 0:00,7,37.806531,17,-122.368896,Partly Cloudy,0,67,FALSE,0,FALSE,67,FALSE,59,R,20,2,10,No,43
2019,10/27/2020 17:52,29,7/4/2016 0:00,3,37.800937,14,-122.447865,Mostly Cloudy,0.012,58,TRUE,0,FALSE,60.1,FALSE,57,R,13.8,2,10,No,44
2020,3/22/2020 16:21,27,9/5/2016 0:00,5,37.80827,19,-122.36701,Fair / Windy,0,59,FALSE,0,FALSE,59,TRUE,78,R,22,2,10,No,45
2020,9/29/2019 19:31,24,10/10/2016 0:00,9,37.775564,7,-122.405811,Fair,0,62,FALSE,0,FALSE,62,FALSE,90,R,0,2,10,No,46
2020,1/19/2017 15:04,4,11/11/2016 0:00,4,37.734898,16,-122.408661,Light Rain,0.01,56,FALSE,0.01,FALSE,56,FALSE,90,R,10,3,2,No,47
2017,9/21/2019 13:31,21,11/24/2016 0:00,12,37.80669,13,-122.474869,Clear,0,76,FALSE,0,FALSE,55,FALSE,37,R,4.6,2,10,No,48
2016,11/30/2016 17:38,20,12/25/2016 0:00,10,37.785542,14,-122.39138,Partly Cloudy,0.01,72,FALSE,0,FALSE,72,FALSE,43,R,0,3,10,No,49
2019,4/30/2020 16:47,20,1/2/2017 0:00,9,37.765283,14,-122.404835,Fair,0,78,FALSE,0,FALSE,78,FALSE,39,R,5,2,10,No,50
2019,9/10/2019 17:48,23,1/16/2017 0:00,6,37.752007,10,-122.403053,Fair,0,71,FALSE,0,FALSE,71,FALSE,61,R,7,2,10,No,51
2020,6/7/2020 5:14,26,2/20/2017 0:00,2,37.74496,16,-122.40522,Partly Cloudy,0,72,FALSE,0,FALSE,72,FALSE,40,R,8,1,10,No,52
2018,11/2/2016 22:27,14,5/29/2017 0:00,1,37.731983,15,-122.415413,Overcast,0.01,55,FALSE,0,FALSE,55,FALSE,80,R,4.6,3,10,No,53
2019,6/1/2016 15:08,3,7/4/2017 0:00,10,37.74492,6,-122.40505,Fair,0.539,54,FALSE,0,FALSE,54,FALSE,77,R,9,2,10,No,54
2020,7/25/2017 9:01,30,9/4/2017 0:00,10,37.762817,13,-122.392799,Fair,0,69,FALSE,0,FALSE,69,FALSE,51,R,8,3,10,No,55
2019,11/4/2019 9:39,17,10/9/2017 0:00,10,37.752502,18,-122.40303,Fair,0,61,FALSE,0,FALSE,61,FALSE,67,R,14,2,10,No,56
2019,9/7/2016 7:35,4,11/10/2017 0:00,10,37.72362,21,-122.40134,Fair,0.136,61,FALSE,0,FALSE,61,FALSE,67,R,3,2,10,No,57
2020,12/12/2020 17:15,3,11/23/2017 0:00,4,37.778107,6,-122.401192,Fair,0,42,FALSE,0,FALSE,44,FALSE,85,R,5,3,10,No,58
2019,11/5/2017 21:18,28,12/25/2017 0:00,1,37.778091,12,-122.401176,Overcast,0,73,FALSE,0,FALSE,59,FALSE,75,R,5.8,3,10,No,59
2016,4/30/2020 22:44,12,1/1/2018 0:00,8,37.74497,14,-122.40521,Partly Cloudy,0,55,FALSE,0,FALSE,69.1,FALSE,63,R,16.1,4,10,No,60
2019,5/12/2016 20:47,5,1/15/2018 0:00,4,37.74492,17,-122.40505,Cloudy,0.539,62,FALSE,0,FALSE,62,FALSE,60,R,0,2,10,No,61
2017,3/23/2018 17:12,9,2/19/2018 0:00,2,37.765289,10,-122.404892,Rain,0,63,FALSE,0.1,FALSE,61,FALSE,83,R,26.5,3,4,No,62
2018,11/8/2018 7:03,10,5/28/2018 0:00,2,37.720791,22,-122.400223,Clear,0,70,FALSE,0,FALSE,59,FALSE,22,R,9.2,2,10,No,63
2019,5/29/2018 2:44,14,7/4/2018 0:00,12,37.749699,23,-122.397285,Partly Cloudy,0,51,FALSE,0,FALSE,51,FALSE,68,R,15,2,10,No,64
2016,5/29/2020 15:12,15,9/3/2018 0:00,12,37.767597,7,-122.396248,Light Rain,0,50,FALSE,0,TRUE,57.9,FALSE,78,R,12.7,3,9,No,65
2018,2/14/2019 15:43,21,10/8/2018 0:00,5,37.76542,16,-122.40486,Mostly Cloudy,0.249,50,FALSE,0,FALSE,61,FALSE,62,R,25.3,2,10,No,66
2020,5/2/2020 16:34,25,11/12/2018 0:00,10,37.77129,12,-122.40853,Mostly Cloudy,0,61,FALSE,0,FALSE,61,FALSE,72,R,13,3,10,No,67
2020,12/3/2016 16:09,5,11/22/2018 0:00,2,37.73174,10,-122.40434,Partly Cloudy,0.275,50,FALSE,0,FALSE,50,FALSE,66,L,5,2,10,No,68
2020,12/25/2019 6:12,6,12/25/2018 0:00,2,37.731361,16,-122.423836,Fair,0,61,FALSE,0,FALSE,61,FALSE,60,R,3,3,10,No,69
2020,4/7/2017 9:30,14,1/1/2019 0:00,10,37.761814,3,-122.405861,Fair,0.01,62,FALSE,0,FALSE,62,FALSE,70,R,6,2,9,No,70
2019,1/4/2020 19:09,25,1/21/2019 0:00,9,37.711308,17,-122.395531,Partly Cloudy,0,86,FALSE,0,FALSE,86,FALSE,40,R,10,2,10,No,71
2016,12/4/2017 9:16,24,2/18/2019 0:00,11,37.711311,8,-122.395523,Mostly Cloudy,0,54,FALSE,0,FALSE,48.9,FALSE,86,R,5.8,2,10,No,72
2019,11/1/2019 18:50,10,5/27/2019 0:00,4,37.740299,16,-122.407848,Partly Cloudy / Windy,0,63,FALSE,0,FALSE,63,FALSE,52,R,25,2,10,No,73
2019,3/22/2018 11:04,20,7/4/2019 0:00,4,37.80715,9,-122.47567,Cloudy / Windy,0.008,55,FALSE,0,FALSE,55,FALSE,86,R,25,3,10,No,74
2017,12/7/2019 13:51,20,9/2/2019 0:00,8,37.719141,10,-122.448457,Scattered Clouds,0,43,FALSE,0,FALSE,66.9,FALSE,73,R,5.8,2,10,No,75
2020,6/28/2020 18:43,2,10/14/2019 0:00,2,37.807153,20,-122.475694,Fair,0,44,FALSE,0,FALSE,49,FALSE,59,R,14,2,10,No,76
2020,2/14/2018 14:54,17,11/11/2019 0:00,11,37.775528,8,-122.426094,Mostly Cloudy / Windy,0,60,TRUE,0,FALSE,60,FALSE,72,L,22,2,10,No,77
2020,11/5/2017 9:07,11,11/28/2019 0:00,11,37.770084,1,-122.42086,Mostly Cloudy,0,55,FALSE,0,FALSE,55,FALSE,80,L,7,2,10,No,78
2019,2/7/2020 15:04,9,12/25/2019 0:00,12,37.72999,20,-122.403729,Mostly Cloudy,0,55,FALSE,0,FALSE,55,FALSE,74,R,7,2,9,No,79
2019,6/29/2016 11:29,11,1/1/2020 0:00,9,37.81053,13,-122.36464,Fair,0,81,FALSE,0,FALSE,81,FALSE,41,R,8,2,10,No,80
2017,9/26/2018 8:30,10,1/20/2020 0:00,11,37.73864,9,-122.407997,Mostly Cloudy,0,59,FALSE,0,FALSE,60.1,FALSE,83,R,9.2,2,10,No,81
2017,12/12/2016 19:00,6,2/17/2020 0:00,9,37.76083,8,-122.39235,Overcast,0.374,47,FALSE,0,FALSE,66.9,FALSE,81,R,6.9,2,8,No,82
2017,10/9/2019 20:19,17,5/25/2020 0:00,5,37.76181,7,-122.405846,Partly Cloudy,0,50,FALSE,0,FALSE,54,FALSE,75,R,10.4,2,10,No,83
2017,2/22/2017 9:07,20,7/3/2020 0:00,4,37.72792,18,-122.40295,Partly Cloudy,0.106,56,FALSE,0,FALSE,62.1,FALSE,53,R,23,3,10,No,84
2019,5/5/2016 10:49,12,9/7/2020 0:00,12,37.759823,17,-122.392258,Mostly Cloudy,0.01,59,FALSE,0,FALSE,59,FALSE,90,R,5,3,10,No,85
2017,6/3/2019 18:11,28,10/12/2020 0:00,2,37.73235,19,-122.4141,Clear,0.67,42,FALSE,0,FALSE,51.1,FALSE,74,R,8.1,2,10,No,86
2019,2/8/2019 18:40,25,11/11/2020 0:00,4,37.808323,8,-122.367363,Fair,0,60,FALSE,0,FALSE,60,TRUE,75,R,5,3,8,No,87
2019,4/26/2020 18:21,8,11/26/2020 0:00,5,37.81053,14,-122.36464,Fair,0,66,FALSE,0,FALSE,66,FALSE,60,R,20,1,10,No,88
2017,12/3/2019 17:39,1,12/25/2020 0:00,8,37.752501,16,-122.402997,Partly Cloudy,0,55,FALSE,0,FALSE,68,FALSE,59,R,21.9,2,10,No,89
2018,12/25/2019 18:04,1,5/30/2016 0:00,1,37.808491,3,-122.367348,Scattered Clouds,0,63,FALSE,0,FALSE,48,TRUE,89,R,3,3,8,No,90
2020,10/1/2019 17:09,17,5/25/2020 0:00,11,37.78699,20,-122.389859,Cloudy,0,61,FALSE,0,FALSE,61,FALSE,81,R,8,2,10,No,91
2016,3/23/2017 18:29,13,11/11/2013 0:00,10,37.743958,16,-122.405594,Mostly Cloudy,0.01,70,FALSE,0,FALSE,71.6,FALSE,53,R,10.4,2,10,No,92
2018,10/28/2019 11:07,24,5/25/2020 0:00,8,37.73497,16,-122.406746,Scattered Clouds,0,55,FALSE,0,FALSE,66,FALSE,68,R,21.9,2,9,No,93
2016,11/6/2018 15:04,1,9/2/2019 0:00,6,37.732208,9,-122.414513,Partly Cloudy,0,57,FALSE,0,FALSE,63,FALSE,70,R,6.9,3,10,No,94
2018,12/20/2019 22:15,4,1/21/2019 0:00,2,37.778081,1,-122.401165,Partly Cloudy,0,75,FALSE,0,FALSE,55,FALSE,89,R,10,2,10,No,95
2016,7/19/2019 19:32,14,1/20/2014 0:00,10,37.803097,9,-122.452774,Light Rain,0,56,FALSE,0,FALSE,66.9,FALSE,84,R,17.3,2,5,No,96
2016,9/19/2019 17:41,18,5/26/2014 0:00,8,37.765282,16,-122.40485,Partly Cloudy,0,64,FALSE,0,FALSE,70,FALSE,65,R,17.3,2,10,No,97
2020,3/20/2020 11:43,17,10/9/2017 0:00,12,37.81052,6,-122.36465,Mostly Cloudy,0,53,FALSE,0,FALSE,53,FALSE,86,R,10,4,8,No,98
2019,11/1/2019 19:05,7,1/21/2019 0:00,10,37.711312,8,-122.395505,Mostly Cloudy,0,66,FALSE,0,FALSE,66,FALSE,65,R,3,2,10,No,99
2020,2/15/2019 17:14,26,11/12/2012 0:00,2,37.7785,16,-122.4056,Partly Cloudy,0,70,TRUE,0,FALSE,70,FALSE,33,L,9,2,10,No,100
2020,2/28/2020 18:20,17,5/25/2020 0:00,4,37.767635,16,-122.396201,Mostly Cloudy,0,59,FALSE,0,TRUE,59,FALSE,60,R,20,2,10,No,101
2017,3/4/2020 12:52,12,9/7/2015 0:00,4,37.798157,13,-122.377769,Mostly Cloudy,0,39,FALSE,0,FALSE,63,FALSE,50,R,18.4,3,10,No,102
2020,11/8/2019 17:48,19,9/3/2012 0:00,4,37.752501,20,-122.402997,Fair,0,55,FALSE,0,FALSE,55,FALSE,69,R,10,2,10,No,103
2017,2/13/2018 7:48,15,7/4/2016 0:00,2,37.732292,16,-122.414909,Mostly Cloudy,0,50,FALSE,0,FALSE,60.1,FALSE,72,R,3.5,3,10,No,104
2018,9/5/2017 12:51,12,12/25/2014 0:00,10,37.786995,20,-122.38987,Clear,0,64,FALSE,0,FALSE,66.9,FALSE,33,R,16.1,3,10,No,105
2019,10/5/2019 15:25,6,7/4/2013 0:00,9,37.778062,13,-122.401983,Fair,0,68,FALSE,0,FALSE,68,FALSE,63,R,20,2,10,No,106
2019,1/24/2020 18:03,3,9/2/2019 0:00,9,37.813098,19,-122.36171,Fair,0,64,FALSE,0,FALSE,64,FALSE,78,R,17,2,10,No,107
2019,9/27/2018 18:52,15,1/20/2020 0:00,8,37.808498,17,-122.366852,Fair,0,81,FALSE,0,FALSE,81,TRUE,44,R,14,3,10,No,108
2019,1/18/2020 17:24,15,11/11/2014 0:00,10,37.76181,18,-122.405846,Fair / Windy,0,59,FALSE,0,FALSE,59,FALSE,69,R,21,2,10,No,109
2019,8/10/2016 11:56,25,5/25/2020 0:00,12,37.73864,22,-122.407997,Cloudy / Windy,0,50,FALSE,0,FALSE,50,FALSE,71,R,22,2,10,No,110
2020,11/8/2016 18:19,6,5/28/2012 0:00,4,37.807072,15,-122.475616,Rain,0.01,50,FALSE,0.09,FALSE,50,FALSE,80,R,10,2,4,No,111
2017,6/13/2017 15:59,13,2/19/2018 0:00,12,37.752502,18,-122.403008,Scattered Clouds,0,58,FALSE,0,FALSE,50,FALSE,68,R,4.6,2,10,No,112
2018,3/27/2018 14:08,17,2/19/2018 0:00,2,37.779289,9,-122.400429,Clear,0,66,FALSE,0.03,FALSE,55.9,FALSE,49,R,3.5,3,10,No,113
2018,6/21/2020 2:27,8,5/28/2012 0:00,11,37.743961,9,-122.405602,Clear,0,48,FALSE,0,FALSE,64,FALSE,37,R,6.9,2,10,No,114
2020,2/7/2017 5:31,6,7/4/2017 0:00,11,37.73137,22,-122.42359,Mostly Cloudy,0.422,53,FALSE,0,FALSE,53,FALSE,71,R,7,2,10,No,115
2019,2/6/2020 16:08,14,7/4/2019 0:00,10,37.709316,18,-122.467303,Fair,0,55,FALSE,0,FALSE,55,FALSE,80,R,14,2,10,No,116
2019,9/24/2020 7:17,17,5/28/2012 0:00,9,37.767809,9,-122.405666,Fair,0.106,67,FALSE,0,FALSE,67,FALSE,66,R,5,2,10,No,117
2016,9/2/2017 6:15,18,1/1/2014 0:00,8,37.765289,21,-122.404892,Partly Cloudy,0,69,FALSE,0.05,FALSE,60.1,FALSE,86,R,10.4,3,10,No,118
2019,4/12/2016 16:23,19,9/3/2012 0:00,9,37.73221,21,-122.43226,Fair,0.406,66,FALSE,0,FALSE,66,FALSE,63,R,5,2,10,No,119
2018,3/26/2020 22:10,13,9/3/2018 0:00,5,37.81053,17,-122.36464,Partly Cloudy,0,71,FALSE,0,FALSE,63,FALSE,65,R,16.1,2,10,No,120
2019,10/22/2019 14:04,18,5/27/2019 0:00,10,37.75311,23,-122.4028,Fair,0,51,FALSE,0,FALSE,51,FALSE,86,R,0,2,10,No,121
2019,10/8/2019 13:45,3,10/12/2020 0:00,4,37.733986,21,-122.405937,Cloudy,0,56,FALSE,0,FALSE,56,FALSE,75,R,6,2,10,No,122
2020,9/24/2018 8:51,1,7/4/2018 0:00,5,37.732292,21,-122.414909,Mostly Cloudy,0,56,FALSE,0,FALSE,56,FALSE,87,R,10,3,10,No,123
2018,10/14/2020 15:50,8,5/27/2019 0:00,1,37.752502,13,-122.40303,Rain,0,82,FALSE,0.08,FALSE,54,FALSE,93,R,3.5,2,2,No,124
2017,7/10/2019 23:14,20,10/13/2014 0:00,12,37.743958,18,-122.405777,Partly Cloudy,0,62,FALSE,0,FALSE,50,FALSE,68,R,13.8,2,10,No,125
2020,6/4/2018 5:39,25,5/30/2016 0:00,6,37.63275,11,-122.40273,Fair,0.611,67,FALSE,0,FALSE,67,FALSE,66,R,8,2,10,No,126
2020,9/25/2019 18:33,25,12/25/2012 0:00,11,37.770916,16,-122.405716,Fair,0,62,FALSE,0,FALSE,62,FALSE,53,R,13,3,10,No,127
2019,8/17/2019 2:20,31,11/11/2020 0:00,8,37.80669,12,-122.474869,Fair,0,75,FALSE,0,FALSE,75,FALSE,51,R,5,2,10,No,128
2018,11/15/2017 9:33,10,11/11/2020 0:00,9,37.749271,14,-122.403854,Clear,0,51,FALSE,0,FALSE,73,FALSE,53,R,13.8,2,10,No,129
2020,3/10/2020 6:28,28,7/4/2012 0:00,2,37.729946,19,-122.439507,Mostly Cloudy,0,52,FALSE,0,FALSE,52,FALSE,83,R,13,2,10,No,130
2018,6/2/2020 18:34,15,9/2/2013 0:00,6,37.724003,9,-122.401497,Partly Cloudy,0,50,FALSE,0,FALSE,62.1,FALSE,62,R,9.2,2,10,No,131
2016,1/25/2018 17:39,9,12/25/2018 0:00,9,37.808987,8,-122.366852,Overcast,0.270000011,52,FALSE,0,FALSE,60.1,FALSE,78,R,18,3,8,No,132
2017,4/24/2017 0:48,13,5/29/2017 0:00,7,37.769375,11,-122.405533,Partly Cloudy,0.01,56,FALSE,0.08,FALSE,68,FALSE,65,R,8.1,2,10,No,133
2016,5/12/2018 18:50,25,1/1/2015 0:00,3,37.808498,13,-122.366852,Scattered Clouds,0,70,FALSE,0,FALSE,64.9,TRUE,58,R,13.8,3,10,No,134
2018,5/1/2020 14:07,7,10/8/2018 0:00,2,37.80773,18,-122.36762,Clear,0,67,FALSE,0,FALSE,66,FALSE,56,R,11.5,1,10,No,135
2020,3/22/2018 23:52,21,10/10/2016 0:00,4,37.808498,19,-122.366852,Fair / Windy,0,57,FALSE,0,FALSE,57,TRUE,67,R,21,3,10,No,136
2019,1/19/2017 12:25,9,9/3/2018 0:00,10,37.808498,14,-122.366852,Fair,0.01,69,FALSE,0,FALSE,69,TRUE,39,R,14,3,10,No,137
2017,4/26/2016 15:35,15,1/18/2016 0:00,12,37.761857,7,-122.405846,Haze,0.001,41.2,FALSE,0,FALSE,45,FALSE,86,R,6.9,2,5,No,138
2016,8/13/2019 6:44,18,1/20/2014 0:00,4,37.71019,6,-122.395515,Mostly Cloudy,0,63,FALSE,0,FALSE,54,FALSE,75,R,3.5,2,10,No,139
2018,5/17/2019 21:22,24,10/14/2019 0:00,5,37.80791,13,-122.3674,Mostly Cloudy,0.214,59,FALSE,0,FALSE,63,FALSE,56,R,9.2,3,10,No,140
2020,9/29/2017 9:57,24,1/20/2020 0:00,11,37.733389,20,-122.411624,Fair,0.517,53,FALSE,0,FALSE,53,FALSE,80,R,10,3,10,No,141
2016,7/12/2017 7:25,5,10/8/2018 0:00,8,37.719101,12,-122.399734,Mostly Cloudy,0,64,FALSE,0,FALSE,64.9,FALSE,70,R,11.5,2,10,No,142
2017,6/11/2020 11:36,4,12/25/2019 0:00,4,37.77286,13,-122.40655,Scattered Clouds,0,54,FALSE,0,FALSE,63,FALSE,63,R,5.8,3,10,No,143
2019,4/10/2020 7:02,3,10/12/2015 0:00,10,37.740299,12,-122.407848,Fair,0,67,FALSE,0,FALSE,67,FALSE,52,R,8,2,10,No,144
2020,5/18/2017 13:18,1,12/25/2015 0:00,12,37.76197,22,-122.40578,Fair,0.069,49,FALSE,0,FALSE,49,FALSE,66,R,3,2,10,No,145
2017,8/4/2016 10:09,6,1/16/2017 0:00,6,37.74842,8,-122.40411,Scattered Clouds,0.057,54,FALSE,0,FALSE,59,FALSE,67,R,13.8,2,10,No,146
2017,5/31/2020 14:40,11,9/4/2017 0:00,10,37.74302,6,-122.47566,Mostly Cloudy,0,58,TRUE,0,TRUE,50,FALSE,96,R,4.6,3,7,No,147
2020,5/25/2016 10:56,9,12/25/2014 0:00,10,37.711315,16,-122.395523,Mostly Cloudy,0.01,69,FALSE,0,FALSE,69,FALSE,63,R,8,2,10,No,148
2017,12/6/2016 0:24,12,12/25/2016 0:00,3,37.772163,6,-122.406639,Shallow Fog,0.01,74,FALSE,0,FALSE,48.9,FALSE,100,R,4.6,3,10,No,149
2020,6/18/2016 21:26,26,1/1/2013 0:00,1,37.786995,4,-122.38987,Light Rain,0,57,FALSE,0.07,FALSE,57,FALSE,89,R,0,3,10,No,150
2020,4/3/2020 6:13,13,1/20/2020 0:00,2,37.813084,14,-122.361687,Cloudy,0,56,FALSE,0,FALSE,56,FALSE,69,R,15,3,10,No,151
2020,4/21/2017 12:46,7,12/25/2017 0:00,2,37.75254,19,-122.40301,Fair,0.37,53,FALSE,0,FALSE,53,FALSE,83,R,7,2,10,No,152
2018,2/19/2018 12:47,23,11/12/2018 0:00,7,37.818817,9,-122.478479,Overcast,0.744,72,FALSE,0,FALSE,60.1,FALSE,86,R,6.9,2,6,No,153
2018,2/25/2018 12:41,27,2/19/2018 0:00,12,37.808498,15,-122.366852,Partly Cloudy,0,59,FALSE,0.11,FALSE,61,TRUE,24,R,16.1,3,10,No,154
2018,11/5/2019 9:43,10,2/17/2014 0:00,8,37.787992,13,-122.393609,Partly Cloudy,0,65,TRUE,0,FALSE,69.1,FALSE,54,R,20.7,2,10,No,155
